firstname,lastname,sex,country,name,ISO alpha 2,ISO alpha 3
Hannah,Lopez,Female,Gibraltar,Gibraltar,GI,GIB
Michael,Santos,Male,Gibraltar,Gibraltar,GI,GIB
Rebecca,Perez,Female,Gibraltar,Gibraltar,GI,GIB
Alexander,Martinez,Male,Gibraltar,Gibraltar,GI,GIB
Pierre,Bastiani,Male,Monaco,Monaco,MC,MCO
Léon,Fournier,Male,Monaco,Monaco,MC,MCO
Sophie,Lefebvre,Female,Monaco,Monaco,MC,MCO
Jean,Roussel,Male,Monaco,Monaco,MC,MCO
Marie,Pierre,Female,Monaco,Monaco,MC,MCO
François,Bourgeois,Male,Monaco,Monaco,MC,MCO
Camille,Lambert,Female,Monaco,Monaco,MC,MCO
Alain,Dujardin,Male,Monaco,Monaco,MC,MCO
Aurélie,Girard,Female,Monaco,Monaco,MC,MCO
Olivier,Meyer,Male,Monaco,Monaco,MC,MCO
Marco,Rossi,Male,Vatican City,Vatican City,VA,VAT
Luca,Bianchi,Male,Vatican City,Vatican City,VA,VAT
Alessandro,Ferrari,Male,Vatican City,Vatican City,VA,VAT
Giulia,Giovanni,Female,Vatican City,Vatican City,VA,VAT
Francesco,Marini,Male,Vatican City,Vatican City,VA,VAT
Simone,Papini,Male,Vatican City,Vatican City,VA,VAT
Laura,Rizzo,Female,Vatican City,Vatican City,VA,VAT
Andrea,Benedetti,Male,Vatican City,Vatican City,VA,VAT
Chiara,Mancini,Female,Vatican City,Vatican City,VA,VAT
Giovanni,Santini,Male,Vatican City,Vatican City,VA,VAT
